Window Sizes,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance
40,341.68245975632027,0.008914463193830267,2659.8662898745806,17688.762190508492,6.5378173184794806,138673.11625662033,0.000981922278522741,0.00015167145044476775,21231.18335985807,0.5539195742090341,0.772353115864837,13249.963746644407,0.0001140240748836264,8.436204289613274,0.598890625,3.7497389908413403
40,340.7563618367932,0.00887548151581781,2744.424148495448,17187.651915713803,6.219154533378481,128459.2039694736,0.0010304801076053821,0.00016623779795037208,21150.70510249264,0.5509000365299049,0.7703425756184747,12838.776115326355,0.00012401041967820975,8.443164286238929,0.599890625,3.4403637471331345
40,337.14356023320966,0.008509213806648234,2630.1748424898387,16826.31304106408,5.556245425405719,112533.52638752176,0.0009418185472137579,0.0001677069754068129,22369.18025794402,0.5645788914450423,0.7793936427290841,12701.142699436201,0.00012677470195750958,8.427666521522564,0.619078125,2.947035133865715
40,390.83082059575355,0.010194345573471583,2364.716151468878,18969.07339976003,6.397621159163232,149922.87036360792,0.0007232301649927722,0.0001348017115053576,21129.875215191194,0.5511470398870884,0.7704963853677657,14035.692838381165,0.00010370865956453171,8.352173389873736,0.59903125,3.610851703122043
40,530.8041762812295,0.01512133368319601,1677.7417515924699,23086.967695068797,9.319488362817992,260023.76899410307,0.0005145259950004892,8.446411297506796e-05,17924.961484773383,0.5106390190232567,0.7426632882259475,16384.05782619874,6.596616513973629e-05,8.14084900210528,0.548484375,5.995408267027288
40,506.5547713236759,0.014416562920103477,1937.8838379480196,22640.603067991007,9.18023735663261,254415.7400176452,0.0005774748816604188,9.40159583073377e-05,18003.09995161795,0.5123687267443991,0.743864558901822,16079.087685303248,7.273406116839823e-05,8.19512824127188,0.549015625,5.862587180441451
40,440.36991112191697,0.011896423565440661,2198.5152274776715,20871.619229002892,7.240403058054407,187623.96747440365,0.0006104485099041896,0.00011118826579806573,19673.624091633574,0.5314753786539583,0.7572194652067149,15107.082124544897,8.549417048174814e-05,8.28730459288628,0.578390625,4.25118559965157
40,384.75005986430756,0.010236798187157312,2453.651815680475,19014.982599441268,6.820433683650393,158380.50698416922,0.0008136884596092912,0.00013406616011813608,20238.802634029533,0.5384808469876157,0.7620084247946353,13964.151062041547,0.00010087308270516321,8.379846543819536,0.587265625,3.920882103620424
40,531.3317148729558,0.015827104193290514,1935.1694842575334,22989.80101873641,10.885228322063686,304835.74007327756,0.0006172244743429529,9.06056681554965e-05,16637.23594769295,0.49558356759384437,0.7318604665361874,16103.368787042275,6.889393744965681e-05,8.163587980912078,0.524546875,7.250947727956187
40,457.9060945094768,0.013169952961243545,2323.832343330598,21183.718542379705,9.50162501078547,248373.50694584256,0.0008071365586533911,0.00011474715157576103,17662.62944001841,0.5079993511466654,0.7407688843814239,15047.197444969004,8.593246978792719e-05,8.292627118291225,0.543265625,6.113374223205971
40,366.9392360649637,0.009753574760505136,2722.022968612662,18166.055633821536,6.653996438159538,146466.39730469685,0.0009763625743405351,0.00015437382058817805,20213.898274899657,0.5373035877541708,0.7612159888275668,13359.441344180987,0.000114823865856341,8.414332721868298,0.587828125,3.759991436571372
40,353.480815132305,0.009072217620108949,2515.966944995733,17988.343762030643,5.935836562893001,132699.83925775735,0.0007996860797085799,0.00014641442714676494,21523.358596617305,0.5524050662581758,0.7714510203422935,13371.304654882093,0.00011079026821359455,8.416305307054424,0.608796875,3.237754398888508
40,439.3390403606698,0.011789905548536652,1945.0939586978332,21012.14289931301,7.1286496350364965,188605.04272219836,0.0005025844858966194,0.00010132790390596885,19903.753971661656,0.5341282195057336,0.7590684541870617,15215.567595963166,7.907235583993618e-05,8.281763963044119,0.58225,4.178928190137569
40,525.1132203581634,0.014855948746942127,1605.9855164805178,23016.562480549976,8.46085947888081,236226.77013607943,0.0004529404590378684,8.078902175367284e-05,18030.53455738818,0.5101008446936991,0.7422942357465067,16335.413179077477,6.281397098076611e-05,8.150845834437042,0.552296875,5.18251317209892
40,455.55598091433643,0.012637482826074579,2114.149231992595,21397.99556147359,7.862738570794496,209554.73990235242,0.0005986734304266714,0.00010493997496790095,18732.917332445628,0.5196659268876395,0.7490204583688,15294.606919827022,8.03226233003128e-05,8.29051333058706,0.56325,4.710655901122319
40,425.2605378600038,0.011587164869077241,2240.0875585186,20602.216833328792,7.586060325331735,197113.91269992644,0.0006406044754295307,0.00011359962028535168,19415.16680744394,0.5290092043117065,0.7555232999780197,14870.859803037241,8.683127367034994e-05,8.321072516785522,0.573453125,4.545146224058391
40,425.493388273949,0.01145924936775064,2157.6299684136666,20720.87969621071,7.434434838813929,196056.2282998034,0.0005587467529858778,0.00010840373750945304,19839.63580296787,0.5343146105132603,0.759199202407768,15038.158301327368,8.338776485021229e-05,8.30640987099475,0.580171875,4.463544259362096
40,499.4544615476226,0.014870469572978313,2298.1860868906415,21890.87560663352,10.468752791258522,274561.1789085063,0.0009017649595553178,0.00011107043253396475,16584.963735969275,0.49379116134127116,0.7305604259131019,15349.345512030928,8.19613366997404e-05,8.223621146232258,0.524796875,6.837825775053617
40,547.9799354649457,0.016074506760485354,1867.498615191389,23163.67395130537,10.088999706658845,285877.36500440014,0.0005387225295650196,9.01441465068547e-05,17066.064241713113,0.5006179009009419,0.7354872378910204,16248.085679309635,6.936564232513469e-05,8.127106316064207,0.53265625,6.564431287738419
